species,decimalLongitude,decimalLatitude
Gloydius brevicauda,126.166706,34.98269
Gloydius brevicauda,126.147025,34.976404
Gloydius brevicauda,114.262016,31.076835
Gloydius brevicauda,118.490706,32.066683
Gloydius brevicauda,118.514432,32.047295
Gloydius brevicauda,128.066646,38.135102
Gloydius brevicauda,118.514602,32.047118
Gloydius brevicauda,117.150024,31.876472
Gloydius brevicauda,119.297747,32.003486
Gloydius brevicauda,128.540157,35.900013
Gloydius brevicauda,114.245418,30.446155
Gloydius brevicauda,119.085098,31.874496
Gloydius brevicauda,118.648642,31.955588
Gloydius brevicauda,119.085091,31.874349
Gloydius brevicauda,127.645942,38.062655
Gloydius brevicauda,120.073586,30.306962
Gloydius brevicauda,127.506701,36.665225
Gloydius brevicauda,126.198447,37.667973
Gloydius brevicauda,120.09512,32.367733
Gloydius brevicauda,118.87759,31.90167
Gloydius brevicauda,117.214468,29.344191
Gloydius brevicauda,121.885966,40.895422
Gloydius brevicauda,119.005889,32.061039
Gloydius brevicauda,126.136853,36.604489
Gloydius brevicauda,126.153645,36.780858
Gloydius brevicauda,128.145837,37.458133
Gloydius brevicauda,126.10151,36.7815
Gloydius brevicauda,119.006453,32.062145
Gloydius brevicauda,127.81761,37.968484
Gloydius brevicauda,112.100372,34.694344
Gloydius brevicauda,126.955776,35.63786
Gloydius brevicauda,118.614802,32.304074
Gloydius brevicauda,118.582318,32.310696
Gloydius brevicauda,120.080389,30.304974
Gloydius brevicauda,121.868479,30.876638
Gloydius brevicauda,121.901012,30.947216
Gloydius brevicauda,118.711427,32.382785
Gloydius brevicauda,118.710082,32.356024
Gloydius brevicauda,117.224593,32.317649
Gloydius brevicauda,116.253808,40.033072
Gloydius brevicauda,118.583588,32.310405
Gloydius brevicauda,127.463035,36.613249
Gloydius brevicauda,127.883015,38.022174
Gloydius brevicauda,126.837229,37.590385
Gloydius brevicauda,117.33262,40.531542
Gloydius brevicauda,117.353804,40.505493
Gloydius brevicauda,127.462313,36.613525
Gloydius brevicauda,127.963065,38.146533
Gloydius brevicauda,117.353541,40.565887
Gloydius brevicauda,118.519739,31.81804
Gloydius brevicauda,118.869,30.037
Gloydius brevicauda,127.494427,35.836234
Gloydius brevicauda,121.480268,32.230358
Gloydius brevicauda,120.013234,29.693518
Gloydius brevicauda,116.594526,40.593464
Gloydius brevicauda,121.464682,32.243891
Gloydius brevicauda,127.198353,36.985817
Gloydius brevicauda,121.399344,32.28203
Gloydius brevicauda,120.014047,29.68289
Gloydius brevicauda,121.416088,32.316761
Gloydius brevicauda,119.22629,32.061845
Gloydius brevicauda,117.177376,31.860092
Gloydius brevicauda,123.434427,40.165616
Gloydius brevicauda,116.447649,40.438667
Gloydius brevicauda,128.143048,37.456123
Gloydius brevicauda,128.23566,36.563156
Gloydius brevicauda,127.589722,37.091389
Gloydius brevicauda,119.952477,30.060411
Gloydius brevicauda,126.580063,36.698033
Gloydius brevicauda,128.145,36.937778
Gloydius brevicauda,126.610235,37.744917
Gloydius brevicauda,128.545278,37.118056
Gloydius brevicauda,126.401667,36.430556
Gloydius brevicauda,126.622222,37.758889
Gloydius brevicauda,115.84639,39.943611
Gloydius brevicauda,128.664167,37.450833
Gloydius brevicauda,127.434822,37.271995
Gloydius brevicauda,128.611667,37.375
Gloydius brevicauda,128.896991,35.370244
Gloydius brevicauda,117.463749,40.642346
Gloydius brevicauda,126.324239,37.250416
Gloydius brevicauda,127.962919,36.853783
Gloydius brevicauda,127.295665,36.560292
Gloydius brevicauda,113.861174,30.30568
Gloydius brevicauda,118.610278,31.600833
Gloydius brevicauda,118.613056,31.610556
Gloydius brevicauda,128.14227,37.458008
Gloydius brevicauda,128.386842,36.084045
Gloydius brevicauda,128.718658,36.545273
Gloydius brevicauda,127.41359,36.399074
Gloydius brevicauda,118.835281,31.760834
Gloydius brevicauda,126.578143,37.490649
Gloydius brevicauda,126.765831,37.898888
Gloydius brevicauda,126.57634,36.748702
Gloydius brevicauda,126.580833,36.746308
Gloydius brevicauda,126.928337,36.816113
Gloydius brevicauda,126.209758,34.917762
Gloydius brevicauda,126.209843,34.918037
Gloydius brevicauda,126.132155,36.723482
Gloydius brevicauda,119.716393,29.77
Gloydius brevicauda,120.121198,30.249919
Gloydius brevicauda,113.473458,28.539142
Gloydius brevicauda,127.484322,36.50457
Gloydius brevicauda,129.181366,36.846659
Gloydius brevicauda,126.633654,36.651043
Gloydius brevicauda,129.40042,36.993066
Gloydius brevicauda,117.922779,29.104797
Gloydius brevicauda,127.37124,36.403794
Gloydius brevicauda,127.371819,36.404215
Gloydius brevicauda,125.951774,37.078394
Gloydius brevicauda,128.481936,35.831314
Gloydius brevicauda,126.162357,36.6943
Gloydius brevicauda,126.591082,36.747481
Gloydius brevicauda,126.583571,36.742805
Gloydius brevicauda,126.559238,36.700494
Gloydius brevicauda,127.699928,36.747138
Gloydius brevicauda,126.129506,36.72179
Gloydius brevicauda,127.274551,36.141756
Gloydius brevicauda,127.043365,37.479368
Gloydius brevicauda,126.564045,36.686454
Gloydius brevicauda,127.440247,36.199923
Gloydius brevicauda,126.587402,36.741558
Gloydius brevicauda,115.977106,40.284465
Gloydius brevicauda,126.61417,36.706687
Gloydius brevicauda,126.991053,37.234702
Gloydius brevicauda,126.566191,36.689896
Gloydius brevicauda,127.157307,36.423493
Gloydius brevicauda,117.104233,23.409239
Gloydius brevicauda,105.721,33.741
Gloydius brevicauda,126.5161,37.493542
Gloydius brevicauda,129.40143,35.52287
Gloydius brevicauda,119.833461,30.640139
Gloydius brevicauda,119.6914,29.793539
Gloydius brevicauda,118.796919,32.060256
Gloydius brevicauda,120,33
Gloydius brevicauda,127.445833,39.1475
Gloydius brevicauda,127.166667,36.9
Gloydius brevicauda,111.285,30.714
Gloydius brevicauda,105,35
Gloydius brevicauda,121.473811,31.230289
