species,decimalLongitude,decimalLatitude
Gloydius ussuriensis,126.715237,33.518652
Gloydius ussuriensis,131.659378,43.919133
Gloydius ussuriensis,127.866183,36.534712
Gloydius ussuriensis,126.727938,37.75076
Gloydius ussuriensis,126.285669,36.796869
Gloydius ussuriensis,125.419111,34.677059
Gloydius ussuriensis,126.565854,33.459907
Gloydius ussuriensis,127.154969,35.729908
Gloydius ussuriensis,127.180507,35.746646
Gloydius ussuriensis,119.029196,47.495352
Gloydius ussuriensis,126.923397,37.285592
Gloydius ussuriensis,126.281647,33.292304
Gloydius ussuriensis,126.265651,33.287067
Gloydius ussuriensis,126.588986,33.297135
Gloydius ussuriensis,132.795557,43.125105
Gloydius ussuriensis,127.475568,35.661312
Gloydius ussuriensis,127.472255,35.662668
Gloydius ussuriensis,127.479874,35.666172
Gloydius ussuriensis,126.577544,33.302311
Gloydius ussuriensis,127.476842,35.660989
Gloydius ussuriensis,127.832849,37.976569
Gloydius ussuriensis,126.706979,33.51644
Gloydius ussuriensis,126.281595,33.290778
Gloydius ussuriensis,126.461101,36.605988
Gloydius ussuriensis,127.193873,36.826771
Gloydius ussuriensis,132.763669,43.128588
Gloydius ussuriensis,126.499596,33.268549
Gloydius ussuriensis,126.21728,33.28708
Gloydius ussuriensis,127.078913,36.721836
Gloydius ussuriensis,128.14314,37.457508
Gloydius ussuriensis,127.778502,35.967635
Gloydius ussuriensis,127.1247,37.753891
Gloydius ussuriensis,127.128071,37.752269
Gloydius ussuriensis,127.126869,37.753654
Gloydius ussuriensis,127.548995,37.933185
Gloydius ussuriensis,119.023869,47.497838
Gloydius ussuriensis,132.762985,43.118683
Gloydius ussuriensis,127.879865,38.00617
Gloydius ussuriensis,132.784683,43.144314
Gloydius ussuriensis,127.00813,42.589417
Gloydius ussuriensis,126.690913,37.713534
Gloydius ussuriensis,127.51578,38.035337
Gloydius ussuriensis,127.760273,38.136086
Gloydius ussuriensis,127.912835,35.599928
Gloydius ussuriensis,127.766396,38.143116
Gloydius ussuriensis,127.960466,38.168506
Gloydius ussuriensis,132.253522,43.623769
Gloydius ussuriensis,132.791618,43.124548
Gloydius ussuriensis,126.890429,33.50341
Gloydius ussuriensis,130.724985,42.430153
Gloydius ussuriensis,130.720108,42.427269
Gloydius ussuriensis,131.732233,42.955422
Gloydius ussuriensis,130.662078,42.430961
Gloydius ussuriensis,130.722967,42.429985
