objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
13684,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,129.162728,35.187575,2015,2015,부산광역시
7287,"Elaphe dione (Pallas, 1773)",누룩뱀,128.966242,35.149239,2015,2015,부산광역시
15520,"Elaphe dione (Pallas, 1773)",누룩뱀,128.950806,35.136961,2015,2015,부산광역시
15516,"Hyla japonica G?nther, 1859",청개구리,128.950806,35.136961,2015,2015,부산광역시
12487,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.132421,35.362512,2016,2016,부산광역시
12489,"Hyla japonica G?nther, 1859",청개구리,129.132421,35.362512,2016,2016,부산광역시
12490,"Rana coreana Okada, 1928",한국산개구리,129.132421,35.362512,2016,2016,부산광역시
12485,"Rana dybowskii G?nther, 1876",북방산개구리,129.132421,35.362512,2016,2016,부산광역시
12486,"Hynobius leechii Boulenger, 1887",도롱뇽,129.132421,35.362512,2016,2016,부산광역시
12488,"Bufo gargarizans Cantor, 1842",두꺼비,129.132421,35.362512,2016,2016,부산광역시
4385,"Hyla japonica G?nther, 1859",청개구리,129.245728,35.356683,2018,2018,부산광역시
4393,"Hyla japonica G?nther, 1859",청개구리,129.245728,35.356683,2018,2018,부산광역시
15138,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.254281,35.288833,2018,2018,부산광역시
12533,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.132739,35.362247,2018,2018,부산광역시
7869,"Rana dybowskii G?nther, 1876",북방산개구리,128.889417,35.121167,2018,2018,부산광역시
1727,"Hynobius leechii Boulenger, 1887",도롱뇽,128.986694,35.114861,2018,2018,부산광역시
4400,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.245728,35.356683,2018,2018,부산광역시
15115,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.19955,35.297581,2018,2018,부산광역시
17912,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,129.244611,35.296044,2018,2018,부산광역시
15118,"Elaphe dione (Pallas, 1773)",누룩뱀,129.244611,35.296044,2018,2018,부산광역시
17919,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,129.268092,35.334758,2018,2018,부산광역시
17910,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.244611,35.296044,2018,2018,부산광역시
