"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis cumingi",121.50035,22.041305,"Taiwan",2018,4,6,"cdround","https://www.inaturalist.org/observations/86119130","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325845454","86119130",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eutropis cumingi",121.991,20.47,"Batanes Province",2008,5,29,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687008562","314025","ASIA","tissue - 100; ETOH - 1","Municipality of Basco","Barangay San Antonio, Sitio Chadpidan"
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Eutropis cumingi",121.55,22.066667,NA,1999,7,17,"cdround,cudc,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2625276127","00003371",NA,NA,NA,"Lanyu., 3Km N Tungching Village"
