"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","catalogNumber","locality","gbifID","elevation","elevationAccuracy","references"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sinomicrurus peinani",107.86166,21.85745,"ASIA","Guangxi",2005,4,27,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","311567","Town of Wang Le","687018089",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sinomicrurus peinani",107.94329,21.83097,"ASIA","Guangxi",2005,5,1,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","311568","Shiwan Dashang Nature Reserve (Near town of Fulong)","686693390",NA,NA,NA
