"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","catalogNumber","locality","gbifID","references"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Tenuidactylus elongatus",100.066,43.584,"ASIA","Omnogovi",2010,7,9,"gass84,txmatfuz,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","tissue - 100; ETOH - 1","WGS84","331232","Gurvantes Soum","686679653",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Tenuidactylus elongatus",106.616667,44.583333,NA,"Dundgovi",2007,9,13,"cdround","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"WGS84","32471956",NA,"3096994365","https://www.inaturalist.org/observations/32471956"
