"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius atemporalis",114.096966,22.403283,"Tsuen Wan",2021,4,5,"cdround","https://www.inaturalist.org/observations/72995477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079909714","72995477",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius atemporalis",114.218744,22.48935,"Tai Po",2019,10,19,"cdround","https://www.inaturalist.org/observations/34741997","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2444991830","34741997",NA,NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius atemporalis",114.137719,22.409606,"Hong Kong",1986,7,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173511","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476707829","R-173511",950,0,"ASIA","whole animal (ethanol)","New Territories","Tai Mo Shan",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Hebius atemporalis",103.836536,22.340314,"Lao Cai Prov.",1939,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543744629","9148",NA,NA,"ASIA","Alcohol",NA,"Chapa","PhysicalObject"
