"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko subpalmatus",120.446413,29.508574,"Zhejiang",2021,9,27,"cdround","https://www.inaturalist.org/observations/96430200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384822533","96430200",NA,NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.05,23.433,"Guangdong",2000,3,10,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-183386","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476643336","R-183386","ASIA","whole animal (ethanol)","Nan Ao, Ma Feng W of Shen Ao",NA,NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.114722,23.476649,"Guangdong Province",2000,7,28,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009942","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039464539","YPM HERR 009942","ASIA","10% form.->70% alc.","Tai Zhu Ao","PhysicalObject",NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",104.116964,30.629442,"Sichuan Prov.",2000,7,18,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1324204773","259851","ASIA","Alcohol","Wang Jiang Hotel, on wall of hotel compound","PhysicalObject","Chengdu Municipality",NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.076313,23.442174,"Guangdong Province",1999,7,7,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009665","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039466122","YPM HERR 009665","ASIA","10% form.->70% alc.","Niu Tou Ling Catchwater","PhysicalObject",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.051336,23.429405,"Guangdong Province",1999,7,12,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009664","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039470571","YPM HERR 009664","ASIA","10% form.->70% alc.","Hou Lan Zai, ca. 200m","PhysicalObject",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.1,23.3667,"Guangdong Province",1997,7,21,"gass84,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009117","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039454013","YPM HERR 009117","ASIA","10% form.->70% alc.","Wu Yu, about 8 miles se of Houzhai","PhysicalObject",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.0833,23.5333,"Guangdong Province",1997,7,23,"gass84,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009161","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039455048","YPM HERR 009161","ASIA","10% form.->70% alc.","research station [Tai Zhu Ao] 2 miles ne of Sheng Ao","PhysicalObject","Nan Ao Island",NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",117.0667,23.5,"Guangdong Province",1997,7,15,"gass84,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009097","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039456846","YPM HERR 009097","ASIA","10% form.->70% alc.",NA,"PhysicalObject","Nan Ao Island",NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Gekko subpalmatus",116.9667,23.4833,"Guangdong Province",1997,7,21,"gass84,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009158","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039464360","YPM HERR 009158","ASIA","10% form.->70% alc.","Huanghua Shan Shuiku","PhysicalObject",NA,NA,NA
