"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","issues","license","preparations","geodeticDatum","county","locality","gbifID","type","catalogNumber","day","references","elevation","elevationAccuracy"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Tropidophorus hainanus",106.4775,21.212222,"ASIA","Hia Duong",1998,4,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Chi Linh","Chi Linh vicinity; Hoang Hua Tham Village","1211763412","PhysicalObject","40346",NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Tropidophorus hainanus",105.641389,21.454167,"ASIA","Vinh Phu",1997,5,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84",NA,"Tam Dao","1211745236","PhysicalObject","30688",22,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Tropidophorus hainanus",105.411111,22.365,"ASIA","Tuyen Quang",1996,6,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84",NA,"Pac Ban; Na Hang Nature Reserve","1211745026","PhysicalObject","30497",NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Tropidophorus hainanus",105.366666,20.31666,"ASIA","Ninh Binh",1994,10,"gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84",NA,"Cuc Phuong Reserve","1211740469","PhysicalObject","25569",14,NA,NA,NA
