"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","county","locality","gbifID","catalogNumber"
"454dca75-c72a-4d15-82de-bce8344029ad","PRESERVED_SPECIMEN","PRESENT","Scincella devorator",103.585167,21.328833,"Son La",2013,6,12,"gass84,typstativ,osiic,inmano","http://dx.doi.org/10.3897/BDJ.3.e4284","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Thuan Chau","Copia Nature Reserve, near Hua Ty Village","1122718757","TBU PAT.26"
"454dca75-c72a-4d15-82de-bce8344029ad","PRESERVED_SPECIMEN","PRESENT","Scincella devorator",103.580472,21.336722,"Son La",2013,8,2,"gass84,typstativ,osiic,inmano","http://dx.doi.org/10.3897/BDJ.3.e4284","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Thuan Chau","Copia Nature Reserve, near Hua Ty Village","1122718752","TBU PAT.72"
