"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","type","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus werneri",127.721546,26.4139,"Okinawa",2021,10,24,"cdround","https://www.inaturalist.org/observations/99538839","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3399486285","99538839",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Achalinus werneri",127.773064,26.456897,"Okinawa",2015,6,24,"cdround","https://www.inaturalist.org/observations/105317078","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465993064","105317078",NA,NA,NA,NA,NA
"76dd8f0d-2daa-4a69-9fcd-55e04230334a","PRESERVED_SPECIMEN","PRESENT","Achalinus werneri",127.77,26.29,"Ryukiu islands",1967,9,4,"colmafu,inmafu","http://portal.vertnet.org/o/cm/herps?id=46510","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","786154570","46510","ASIA","whole animal in alcohol","OKINAWA","PhysicalObject","FUTEMMA CAVE"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Achalinus werneri",127.826,26.336,"Okinawa Prefecture",1945,6,5,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55944","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476706089","R-55944","ASIA","whole animal (ethanol)",NA,NA,"Koza,Okinawa"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Achalinus werneri",128.183,26.7,"Okinawa Prefecture",1945,7,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-48875","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476674177","R-48875","ASIA","whole animal (ethanol)",NA,NA,"Okinawa Id,Luchu Islands"
