"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",105.916778,45.83663,"Dundgovi",2022,6,2,"cdround","https://www.inaturalist.org/observations/119835906","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860769013","119835906",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.926427,44.886713,"Omnogovi",2022,7,5,"cdround","https://www.inaturalist.org/observations/124988758","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872864781","124988758",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",105.686304,43.518626,"Omnogovi",2022,7,6,"cdround","https://www.inaturalist.org/observations/125288331","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874156305","125288331",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",108.707902,45.967513,"Dornogovi",2021,7,10,"cdround","https://www.inaturalist.org/observations/86952551","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327870434","86952551",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.26503,45.763159,"Dundgovi",2020,8,14,"cdround","https://www.inaturalist.org/observations/71870897","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067874663","71870897",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",104.810869,45.239117,"Dundgovi",2020,8,15,"cdround","https://www.inaturalist.org/observations/74234112","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097025795","74234112",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.897893,45.46137,"Dundgovi",2020,8,15,"cdround","https://www.inaturalist.org/observations/74238498","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097083778","74238498",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",107.658147,43.236753,"Omnogovi",2020,9,25,"cdround","https://www.inaturalist.org/observations/63538801","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3005115500","63538801",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",104.334473,47.856587,"Bulgan",2019,6,3,"cdround","https://www.inaturalist.org/observations/127093146","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873096783","127093146",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",104.333486,47.857813,"Bulgan",2019,6,3,"cdround","https://www.inaturalist.org/observations/127093148","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873413557","127093148",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.601865,44.288308,"Omnogovi",2019,7,1,"cdround","https://www.inaturalist.org/observations/42231787","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963928373","42231787",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",104.922562,42.335625,"Omnogovi",2019,7,16,"cdround","https://www.inaturalist.org/observations/35042011","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872973344","35042011",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",101.875198,45.077041,"Ovorhangay",2019,8,1,"cdround","https://www.inaturalist.org/observations/41280952","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2813862507","41280952",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",100.05895,43.785891,"Omnogovi",2019,8,15,"cdround","https://www.inaturalist.org/observations/123814659","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859262410","123814659",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.698608,44.175697,"Omnogovi",2019,9,5,"cdround","https://www.inaturalist.org/observations/33504435","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2445005529","33504435",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",107.888199,43.452921,"Omnogovi",2018,6,18,"cdround","https://www.inaturalist.org/observations/13623909","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3018086326","13623909",NA,NA,NA,NA,NA,NA
