"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","continent","preparations","type","county"
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",116.9667,23.4833,"Guangdong Province",1997,7,17,"gass84,osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009102","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039462126","YPM HERR 009102",NA,NA,"Huanghua Shan Shuiku","ASIA","10% form.->70% alc.; microslide; microslide","PhysicalObject",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.430628,22.54283,"Hong Kong",1994,7,9,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476497271","R-179515",NA,NA,"Hong Kong:Tung Ping Chau Lei UK","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.302786,22.40694,"Hong Kong",1994,7,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476688028","R-179514",100,0,"Hong Kong,Sai Kung Peninsula Ping Tun","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",113.913455,22.220745,"Hong Kong",1992,8,17,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-177076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476704313","R-177076",NA,NA,"Lantau,Shui Hau","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.060471,22.350159,"Hong Kong",1991,8,23,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176651","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476696259","R-176651",NA,NA,"Ma Wan","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",113.996604,22.266025,"Hong Kong",1990,5,25,"txmatfuz,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176216","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476711787","R-176216",NA,NA,"Lantau,Mui Wo","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",113.927338,22.297707,"Hong Kong",1990,6,12,"txmatfuz,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176214","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476711785","R-176214",NA,NA,"Lam Chau W. of Chek Lap Kok","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.158639,22.263618,"Hong Kong",1990,7,8,"txmatfuz,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176215","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476711786","R-176215",NA,NA,"The Peak","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",113.976304,22.242365,"Hong Kong",1987,4,17,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172613","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699236","R-172613",NA,NA,"Lantau, Pui O","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.040462,22.286152,"Hong Kong",1987,4,7,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172667","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712124","R-172667",NA,NA,"Peng Chau","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.134147,22.32129,"Hong Kong",1987,5,4,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172669","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712223","R-172669",NA,NA,"Stonecutter's Island (Ngong Shuen Chan)","ASIA","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.060714,22.349855,"Hong Kong",1982,4,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172614","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699237","R-172614",NA,NA,"Hong Kong,Ma Wan(NE of Lantau)","ASIA","whole animal (ethanol)",NA,"New Territories"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",116.65,23.36667,"Guangdong Province",1936,8,26,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23541","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145547263","MVZ:Herp:23541",50,0,"Kakchiek, Swatow, E Kwantung Prov.","ASIA","whole organism",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",114.152501,22.249306,"Hong Kong",1902,8,10,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-112194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476769054","R-112194",NA,NA,"Aberdeen: Hong Kong","ASIA","whole animal (ethanol)",NA,NA
"b929f23d-290f-4e85-8f17-764c55b3b284","PRESERVED_SPECIMEN","PRESENT","Ateuchosaurus chinensis",113.6,22.15,NA,NA,NA,NA,"gass84,typstativ,colmano,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","92150159","11669",NA,NA,"University of East Asia",NA,"alcoholic","PhysicalObject",NA
