"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","county","locality","gbifID","catalogNumber","continent","preparations"
"454dca75-c72a-4d15-82de-bce8344029ad","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus cryptotis",103.419333,22.2375,"Dien Bien",2013,2,18,"gass84,typstativ,osiic,inmano","http://dx.doi.org/10.3897/BDJ.3.e4284","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Muong Nhe","Muong Nhe Nature Reserve, Sin Thau sector, Y Ma Ho stream","1122718750","HNUE MNR.26",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus cryptotis",107.889133,21.846233,"Guangxi",2005,4,30,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84",NA,"Shiwan Dashang Nature Reserve (Near town of Fulong)","686692987","311505","ASIA","tissue - 100; ETOH - 1"
