"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon tunganus",102.2,29.933,"ASIA","Sichuan",1958,11,21,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-163252","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476718247","R-163252","Lu Ding",NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Plestiodon tunganus",102.235,29.9139,"ASIA","Sichuan",1937,8,20,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","1317358424","USNM 107448","Lu Ding Chiao (= Luqiao)","PhysicalObject",NA,NA
