"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","elevation","elevationAccuracy","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",120.885397,23.918495,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/113434804","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3772630780","113434804",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.519758,25.18314,"New Taipei",2022,6,5,"cdround","https://www.inaturalist.org/observations/120520218","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859490646","120520218",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.515519,24.724716,"Taipei",2022,6,27,"cdround","https://www.inaturalist.org/observations/123801426","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859730415","123801426",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.405487,24.668775,"Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77931433","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113283988","77931433",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.40033,24.67387,"Taipei",2021,5,8,"","https://www.inaturalist.org/observations/77931291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113518950","77931291",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.40075,24.67443,"Taipei",2021,5,8,"","https://www.inaturalist.org/observations/77930957","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113576946","77930957",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.407548,24.6623,"Taipei",2021,5,9,"cdround","https://www.inaturalist.org/observations/80175940","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124636780","80175940",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.409119,24.825787,"Taipei",2021,5,11,"cdround","https://www.inaturalist.org/observations/78456316","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743237351","78456316",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.581128,25.141798,"Taipei",2021,6,16,"cdround","https://www.inaturalist.org/observations/88814494","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333310293","88814494",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.402022,24.670642,"Taipei",2021,7,25,"cdround","https://www.inaturalist.org/observations/88641687","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333161100","88641687",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.402047,24.672537,"Taipei",2021,7,25,"cdround","https://www.inaturalist.org/observations/88641714","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333401108","88641714",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",121.425688,24.64845,"Taipei",2021,7,25,"cdround","https://www.inaturalist.org/observations/88641421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333404053","88641421",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calamaria pavimentata",120.789813,23.866321,"Taiwan",2021,10,9,"cdround","https://www.inaturalist.org/observations/97638291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455732146","97638291",NA,NA,NA,NA,NA,NA,NA
