"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber","elevation","elevationAccuracy","day","references","county"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Geoemyda spengleri",105.641389,21.454167,"ASIA","Vinh Phu",1997,6,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Tam Dao","1211749338","PhysicalObject","34669",NA,NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Geoemyda spengleri",105.16666,21.75,"ASIA","Tuyen Quang",1996,5,"gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Tuyen Quang vicinity; purchased","1211766160","PhysicalObject","28461",NA,NA,27,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Geoemyda spengleri",105.644364,21.455036,"ASIA","Vinh Phuc Prov.",1940,NA,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Tam Dao","543744624","PhysicalObject","9143",NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Geoemyda spengleri",109,24,"ASIA","Guangxi Zhuang",1929,6,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","Lo-shiang","476643302",NA,"R-32425",NA,NA,3,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-32425",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Geoemyda spengleri",105,35,"ASIA",NA,NA,NA,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole shell (dry)","WGS84","[no specific locality data]","476716591",NA,"R-160241",NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-160241",NA
