"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","year","month","day","issues","references","license","geodeticDatum","catalogNumber","locality","gbifID"
"3c34e15d-f799-4524-b74b-9a11c1756d39","PRESERVED_SPECIMEN","PRESENT","Takydromus yunkaiensis",111.195244,22.275805,0,2019,1,1,"gass84,osiic,inmano","http://treatment.plazi.org/id/D27AC06F78ED513FA4ED0B12B96FA665","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","SYS r001580","16 August 2016","2339004021"
"3c34e15d-f799-4524-b74b-9a11c1756d39","PRESERVED_SPECIMEN","PRESENT","Takydromus yunkaiensis",111.22121,22.27944,0,2019,1,1,"cudc,gass84,osiic,inmano","http://treatment.plazi.org/id/D27AC06F78ED513FA4ED0B12B96FA665","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","SYS r001513, SYS r001514","Xianrendong Scenic Area","2339005970"
