"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","catalogNumber","gbifID","references","locality"
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Euprepiophis perlaceus",103.29,29.36,2012,6,28,"gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","SCUM120628","2249657996",NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Euprepiophis perlaceus",103.290001,29.360001,2012,6,28,"gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","SCUM120628","3350387138","https://www.ebi.ac.uk/ena/browser/view/KF850472","Emei mountain,Sichuan Province"
