"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.955758,22.234663,"Islands",2021,3,19,"cdround","https://www.inaturalist.org/observations/71536112","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067709458","71536112",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.259711,22.20816,"Southern",2021,3,28,"cdround","https://www.inaturalist.org/observations/72282748","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070379744","72282748",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.152427,22.366855,"Sha Tin",2021,3,10,"cdround","https://www.inaturalist.org/observations/72989898","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079812815","72989898",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.911391,22.279344,"Islands",2021,4,2,"cdround","https://www.inaturalist.org/observations/72672491","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079731271","72672491",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.214072,22.248067,"Southern",2021,4,11,"cdround","https://www.inaturalist.org/observations/73700608","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090939514","73700608",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.026501,22.201618,"Islands",2021,5,2,"cdround","https://www.inaturalist.org/observations/76515030","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112651410","76515030",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.972513,22.39083,"Tuen Mun",2021,5,13,"cdround","https://www.inaturalist.org/observations/78651220","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117884592","78651220",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.917923,22.247873,"Islands",2021,5,29,"cdround","https://www.inaturalist.org/observations/80982827","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355543503","80982827",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.29688,22.202684,"Southern",2021,5,12,"cdround","https://www.inaturalist.org/observations/118880981","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859352232","118880981",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.059378,22.370204,"Tsuen Wan",2021,7,1,"cdround","https://www.inaturalist.org/observations/85307693","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325666576","85307693",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.144736,22.271455,"Central and Western",2021,7,8,"cdround","https://www.inaturalist.org/observations/86131135","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325733407","86131135",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.146575,22.278247,"Central and Western",2021,7,27,"cdround","https://www.inaturalist.org/observations/88761200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333116244","88761200",NA,NA,NA,NA,NA,NA,NA
