"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Goniurosaurus luii",106.809497,22.318238,"Guangxi",2021,6,1,"cdround","https://www.inaturalist.org/observations/101871799","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873721556","101871799",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Goniurosaurus luii",106.844879,22.55465,"Guangxi",2019,10,4,"cdround","https://www.inaturalist.org/observations/34066975","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3109051352","34066975",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Goniurosaurus luii",106.931264,22.219108,"Guangxi",2016,7,1,"cdround","https://www.inaturalist.org/observations/108740439","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743117261","108740439",NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Goniurosaurus luii",106.756667,22.096944,"Guangxi",1995,5,10,"conti,rdativ,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987046374","222685","FLUID - 1","PINGXIANG","PhysicalObject"
