"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.933944,24.370496,"Okinawa",2020,8,10,"cdround","https://www.inaturalist.org/observations/63166724","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2901604194","63166724",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.536649,24.990599,"New Taipei",2020,8,30,"cdround","https://www.inaturalist.org/observations/68956271","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039140233","68956271",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.326457,23.711718,"Taiwan",2019,4,18,"cdround","https://www.inaturalist.org/observations/22649903","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236919306","22649903",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.418502,23.781628,"Taiwan",2019,4,25,"cdround","https://www.inaturalist.org/observations/23042558","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2237524256","23042558",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.905393,24.27215,"Okinawa",2019,4,28,"cdround","https://www.inaturalist.org/observations/23584297","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2238888285","23584297",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.974869,24.349383,"Okinawa",2019,4,28,"cdround","https://www.inaturalist.org/observations/23584200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2238889226","23584200",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.67937,24.344517,"Okinawa",2019,4,10,"cdround","https://www.inaturalist.org/observations/28339346","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2283196338","28339346",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.40807,23.509218,"Taiwan",2019,5,18,"cdround","https://www.inaturalist.org/observations/25307195","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2251850044","25307195",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",124.129905,24.292431,"Okinawa",2019,9,26,"cdround","https://www.inaturalist.org/observations/42482439","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609340120","42482439",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.936097,24.319842,"Okinawa",2018,1,5,"cdround","https://www.inaturalist.org/observations/14469108","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1883917139","14469108",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.642147,24.319919,"Okinawa",2018,4,14,"cdround","https://www.inaturalist.org/observations/63483741","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963853826","63483741",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.914763,24.555132,"Taiwan",2018,5,10,"cdround","https://www.inaturalist.org/observations/13824654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880581820","13824654",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.929765,24.342758,"Taichung",2018,9,11,"cdround","https://www.inaturalist.org/observations/16410317","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1978417379","16410317",NA,NA,NA,NA,NA,NA,NA
