"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon fasciatus",105.974279,22.515728,"Cao B<U+1EB1>ng",2022,5,25,"cdround","https://www.inaturalist.org/observations/118758343","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802733762","118758343",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon fasciatus",102.718,25.039,"Yunnan",1922,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-16735","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476675724","R-16735","ASIA","whole animal (ethanol)","China,Yunnan-fu"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon fasciatus",110.256,22.325,"Guangxi Zhuang",1922,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-16736","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476675725","R-16736","ASIA","whole animal (ethanol)","China,Yunnan,Luchien-hsieu 6days walk of Yunnan-fu"
