"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gonyosoma oxycephalum",100.436527,20.290257,"Bokeo",2018,3,12,"cdround","https://www.inaturalist.org/observations/32298642","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422955389","32298642",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Gonyosoma oxycephalum",107.881667,25.481667,"Guizhou",2007,3,31,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686994843","312173","ASIA","tissue - 100; ETOH - 1","Libo County","Shuipu Village"
