"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","type"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Leiolepis reevesii",110.172307888889,20.055378362084,"ASIA","Hainan Province",1999,1,26,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:230439","http://creativecommons.org/publicdomain/zero/1.0/legalcode","whole organism; tissue; tissue sample","WGS84","1145541701","MVZ:Herp:230439","Tian Wei village, 20 km NW Haikou, Hainan Island",NA
"7df6557f-1996-4874-a08a-1ac5718ef413","PRESERVED_SPECIMEN","PRESENT","Leiolepis reevesii",113.573405,22.125556,"ASIA","Macau",1989,7,20,"rdativ,osiic,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","ETOH 70%","WGS84","1946202499","IICT/R 14-1989","Hac-Sa, Coloane","PhysicalObject"
"9cd0014c-b7b1-4ed1-bef7-0225acfa4ef2","PRESERVED_SPECIMEN","PRESENT","Leiolepis reevesii",104.78333,36.8667,"ASIA",NA,1896,NA,NA,"colmano","http://portal.vertnet.org/o/smns/herpetologie?id=570","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"WGS84","621065620","570","China","PhysicalObject"
"1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34","PRESERVED_SPECIMEN","PRESENT","Leiolepis reevesii",104.783333,36.8667,NA,NA,1896,NA,NA,"cdround,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"WGS84","1830948012","SMNS-Z-HE-0000570 / 469711 / SMNS-Z-HE-0000570",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Leiolepis reevesii",114.195662,22.249939,"ASIA","Hong Kong",1832,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-4134","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476665268","R-4134","Hong Kong",NA
