"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","catalogNumber","locality","gbifID","references"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Pseudocalotes microlepis",107.889133,21.846233,"ASIA","Guangxi",2005,4,15,"cdround,gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","311492","Shiwan Dashang Nature Reserve (Near town of Fulong)","686695138",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudocalotes microlepis",102.1,21.683333,NA,"Phongsali",2004,7,20,"cdround","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"WGS84","97711",NA,"3859191301","https://www.inaturalist.org/observations/97711"
