"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.482163,37.258645,"Gangwon-do",2020,5,23,"cdround","https://www.inaturalist.org/observations/46934760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634230035","46934760",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",125.828371,34.610648,"Jeollanam-do",2020,5,27,"cdround","https://www.inaturalist.org/observations/66275689","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999068988","66275689",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.757451,36.57017,"Chungcheongbuk-do",2020,5,17,"cdround","https://www.inaturalist.org/observations/46476064","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384417438","46476064",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.051699,37.997026,"Gyeonggi-do",2020,6,4,"cdround","https://www.inaturalist.org/observations/48741082","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641541952","48741082",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",130.94692,48.008209,"Yevrey",2020,6,16,"cdround","https://www.inaturalist.org/observations/122612441","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859816370","122612441",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.480277,37.331978,"Gangwon-do",2020,7,5,"cdround","https://www.inaturalist.org/observations/52099053","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814382769","52099053",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",130.94101,48.056203,"Yevrey",2020,7,2,"cdround","https://www.inaturalist.org/observations/122613018","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859978405","122613018",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.438663,37.556077,"Gangwon-do",2020,8,13,"cdround","https://www.inaturalist.org/observations/56261041","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856552510","56261041",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",131.901537,42.96414,"Primor'ye",2020,8,30,"cdround","https://www.inaturalist.org/observations/70249325","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058694983","70249325",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.479722,37.258889,"Gangwon-do",2020,9,12,"cdround","https://www.inaturalist.org/observations/59291942","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2864763901","59291942",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.67862,37.542449,"Gangwon-do",2020,9,17,"cdround","https://www.inaturalist.org/observations/59781765","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868192563","59781765",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.478579,37.275145,"Gangwon-do",2020,9,27,"cdround","https://www.inaturalist.org/observations/60925114","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873742929","60925114",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.766651,37.312615,"Gyeonggi-do",2020,9,27,"cdround","https://www.inaturalist.org/observations/60943480","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873833267","60943480",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.474444,37.258333,"Gangwon-do",2020,9,27,"cdround","https://www.inaturalist.org/observations/60923474","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873949143","60923474",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.768889,37.304444,"Gyeonggi-do",2020,9,27,"cdround","https://www.inaturalist.org/observations/60962274","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2874028329","60962274",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.474571,37.258211,"Gangwon-do",2020,9,27,"cdround","https://www.inaturalist.org/observations/60923465","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070587263","60923465",NA,NA,NA,NA,NA,NA
