"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis macularia",101.273887,21.917224,"Yunnan",2022,7,24,"cdround","https://www.inaturalist.org/observations/127936500","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873968625","127936500",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eutropis macularia",101.270172,21.909365,"Yunnan",2021,6,27,"cdround","https://www.inaturalist.org/observations/89021480","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759064652","89021480",NA,NA,NA,NA
"454dca75-c72a-4d15-82de-bce8344029ad","PRESERVED_SPECIMEN","PRESENT","Eutropis macularia",103.694444,21.040833,"Son La",2014,5,1,"gass84,txmatfuz,typstativ,osiic,inmano","http://dx.doi.org/10.3897/BDJ.3.e4284","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1122718733","TBU PAT.167","Song Ma","Sop Cop Nature Reserve, near Pa Man Village",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Eutropis macularia",100.086889,20.275111,NA,NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-39291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476688465","R-39291",NA,"Chieng Sen: N Siam","ASIA","whole animal (ethanol)"
