"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","catalogNumber","locality","gbifID","continent","stateProvince","preparations","type"
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Gekko yakuensis",130.496861,30.465639,2007,8,11,"cdround,gass84,colmano,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","KUZ R64474","Isso, Yakushima Island, Kagoshima Pref.","779874763",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Gekko yakuensis",130.431833,30.279833,2007,8,16,"cdround,gass84,colmano,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","KUZ R64475","Kurio, Yakushima Island, Kagoshima Pref.","779874764",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Gekko yakuensis",130.435667,30.280111,2007,8,16,"cdround,gass84,colmano,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","KUZ R64538","Kurio, Yakushima Island, Kagoshima Pref.","779874772",NA,NA,NA,NA
