"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.445301,37.371696,"Incheon",2021,5,1,"cdround","https://www.inaturalist.org/observations/76580164","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772410385","76580164",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.575431,35.692473,"Jeollabuk-do",2021,6,20,"cdround","https://www.inaturalist.org/observations/109738742","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759124225","109738742",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.28339,33.290521,"Jeju",2021,7,30,"cdround","https://www.inaturalist.org/observations/90742337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764489380","90742337",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.398571,37.0479,"Gyeonggi-do",2021,7,1,"cdround","https://www.inaturalist.org/observations/85193673","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772619403","85193673",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.185456,33.322463,"Jeju",2021,8,2,"cdround","https://www.inaturalist.org/observations/90873304","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764170372","90873304",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.290475,33.305228,"Jeju",2021,8,18,"cdround","https://www.inaturalist.org/observations/92545173","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764332363","92545173",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.2905,33.305239,"Jeju",2021,8,18,"cdround","https://www.inaturalist.org/observations/92545175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764343379","92545175",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",125.426604,34.686515,"Jeollanam-do",2021,10,23,"cdround","https://www.inaturalist.org/observations/100126882","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759646731","100126882",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.287711,33.297432,"Jeju",2021,10,9,"cdround","https://www.inaturalist.org/observations/97604989","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764106395","97604989",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.268251,33.119264,"Jeju",2021,10,26,"cdround","https://www.inaturalist.org/observations/100128355","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764179393","100128355",NA,NA,NA,NA,NA
