"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","elevationAccuracy","year","month","day","issues","references","license","geodeticDatum","catalogNumber","locality","gbifID","continent","stateProvince","preparations"
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Pareas stanleyi",117.660004,27.719999,940,0,2020,7,15,"gass84","https://www.ebi.ac.uk/ena/browser/view/MW531673","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","LSU2020MLFJDT01"," Dazhulan, Wuyi Mount., Nanping, Fujian","3349463154",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pareas stanleyi",118,27.7,NA,NA,1926,4,1,"rdatunl,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-45966","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","R-45966","Chungan, Hsien, Yenping","476690650","ASIA","Fujian","whole animal (ethanol)"
