"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.577544,33.302311,"Jeju",2022,7,2,"cdround","https://www.inaturalist.org/observations/127792968","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873690763","127792968",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.476842,35.660989,"Jeollabuk-do",2022,7,16,"cdround","https://www.inaturalist.org/observations/126437231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873899427","126437231",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.832849,37.976569,"Gangwon-do",2022,7,10,"cdround","https://www.inaturalist.org/observations/125610443","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873996301","125610443",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.706979,33.51644,"Jeju",2022,7,24,"cdround","https://www.inaturalist.org/observations/128093334","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881598634","128093334",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.281595,33.290778,"Jeju",2022,7,31,"cdround","https://www.inaturalist.org/observations/128708661","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881871404","128708661",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.499596,33.268549,"Jeju",2021,4,22,"cdround","https://www.inaturalist.org/observations/74800907","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097188583","74800907",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.21728,33.28708,"Jeju",2021,4,29,"cdround","https://www.inaturalist.org/observations/75619845","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109134489","75619845",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.078913,36.721836,"Chungcheongnam-do",2021,4,25,"cdround","https://www.inaturalist.org/observations/75147536","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415467538","75147536",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",128.14314,37.457508,"Gangwon-do",2021,5,8,"cdround","https://www.inaturalist.org/observations/78021964","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301812609","78021964",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.778502,35.967635,"Jeollabuk-do",2021,5,15,"cdround","https://www.inaturalist.org/observations/83742131","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314174899","83742131",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.1247,37.753891,"Gyeonggi-do",2021,5,22,"cdround","https://www.inaturalist.org/observations/81686511","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415368638","81686511",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.128071,37.752269,"Gyeonggi-do",2021,5,22,"cdround","https://www.inaturalist.org/observations/81968289","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415808588","81968289",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.126869,37.753654,"Gyeonggi-do",2021,5,19,"cdround","https://www.inaturalist.org/observations/80690163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415937642","80690163",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.548995,37.933185,"Gyeonggi-do",2021,6,10,"cdround","https://www.inaturalist.org/observations/82414332","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314363526","82414332",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",119.023869,47.497838,"Dornod",2021,6,20,"cdround","https://www.inaturalist.org/observations/111773460","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760160333","111773460",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.762985,43.118683,"Primor'ye",2021,7,9,"cdround","https://www.inaturalist.org/observations/86285070","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327985675","86285070",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.879865,38.00617,"Gangwon-do",2021,7,25,"cdround","https://www.inaturalist.org/observations/88545209","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355083617","88545209",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.784683,43.144314,"Primor'ye",2021,7,12,"cdround","https://www.inaturalist.org/observations/104664585","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456508223","104664585",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.00813,42.589417,"Jilin",2021,7,11,"cdround","https://www.inaturalist.org/observations/126810946","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873987341","126810946",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.690913,37.713534,"Gyeonggi-do",2021,8,10,"cdround","https://www.inaturalist.org/observations/90773467","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3337651498","90773467",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.51578,38.035337,"Gangwon-do",2021,8,13,"cdround","https://www.inaturalist.org/observations/90992030","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337656364","90992030",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.760273,38.136086,"Gangwon-do",2021,8,16,"cdround","https://www.inaturalist.org/observations/91395282","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337792118","91395282",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.912835,35.599928,"Gyeongsangnam-do",2021,8,22,"cdround","https://www.inaturalist.org/observations/92086945","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3343704080","92086945",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.766396,38.143116,"Gangwon-do",2021,8,22,"cdround","https://www.inaturalist.org/observations/92087782","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3343732094","92087782",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.960466,38.168506,"Gangwon-do",2021,8,20,"cdround","https://www.inaturalist.org/observations/91847002","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3344029789","91847002",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.253522,43.623769,"Primor'ye",2021,8,28,"cdround","https://www.inaturalist.org/observations/92786378","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3355208051","92786378",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.791618,43.124548,"Primor'ye",2021,8,30,"cdround","https://www.inaturalist.org/observations/93878201","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3355727165","93878201",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.890429,33.50341,"Jeju",2021,9,5,"cdround","https://www.inaturalist.org/observations/93664478","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355646860","93664478",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.724985,42.430153,"Primor'ye",2021,9,15,"cdround","https://www.inaturalist.org/observations/96363926","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384173453","96363926",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.720108,42.427269,"Primor'ye",2021,9,15,"cdround","https://www.inaturalist.org/observations/96326457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384183423","96326457",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.732233,42.955422,"Primor'ye",2021,9,19,"cdround","https://www.inaturalist.org/observations/97271852","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384184437","97271852",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.662078,42.430961,"Primor'ye",2021,9,14,"cdround","https://www.inaturalist.org/observations/96326399","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384449383","96326399",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.722967,42.429985,"Primor'ye",2021,9,15,"cdround","https://www.inaturalist.org/observations/96363925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384545470","96363925",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.721069,42.427436,"Primor'ye",2021,9,15,"cdround","https://www.inaturalist.org/observations/97433379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384576567","97433379",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.625952,37.804054,"Gangwon-do",2021,9,13,"cdround","https://www.inaturalist.org/observations/95934045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384802148","95934045",NA,NA,NA,NA,NA
