"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rafetus swinhoei",105.865007,21.1963,"Ha N<U+1ED9>i",2013,2,22,"cdround","https://www.inaturalist.org/observations/26976629","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2269236642","26976629"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rafetus swinhoei",105.924921,21.148649,"Ha N<U+1ED9>i",2008,9,1,"cdround","https://www.inaturalist.org/observations/96993067","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415936948","96993067"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rafetus swinhoei",104.504926,21.742424,"Yen Bai",2004,9,2,"cdround","https://www.inaturalist.org/observations/9322861","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1883974153","9322861"
