"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","type","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.18076,22.361806,"Kowloon City",2022,1,9,"cdround","https://www.inaturalist.org/observations/104701053","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3455809225","104701053",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.209878,22.342425,"Wong Tai Sin",2022,1,17,"cdround","https://www.inaturalist.org/observations/105156061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456363649","105156061",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.076464,22.379296,"Kowloon City",2022,1,9,"cdround","https://www.inaturalist.org/observations/104700961","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456661065","104700961",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.029552,22.337608,"Sha Tin",2022,1,24,"cdround","https://www.inaturalist.org/observations/105599921","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3465916275","105599921",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.175317,22.252,"Southern",2022,1,10,"cdround","https://www.inaturalist.org/observations/104684257","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465976738","104684257",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.197112,22.234555,"Southern",2022,1,25,"cdround","https://www.inaturalist.org/observations/105625217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466502839","105625217",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",105.605511,21.335973,"Vinh Phuc",2022,1,23,"cdround","https://www.inaturalist.org/observations/109378026","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858249907","109378026",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.138919,22.580401,"Tai Po",2022,3,12,"cdround","https://www.inaturalist.org/observations/108570374","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3743032959","108570374",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",101.245872,21.939379,"Yunnan",2022,4,6,"cdround","https://www.inaturalist.org/observations/110571171","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759660037","110571171",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.023644,22.451356,"Yuen Long",2022,4,9,"cdround","https://www.inaturalist.org/observations/110826915","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759996378","110826915",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.270747,22.426648,"Tai Po",2022,4,12,"cdround","https://www.inaturalist.org/observations/112062032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760112520","112062032",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.220964,22.281597,"Eastern",2022,4,22,"cdround","https://www.inaturalist.org/observations/112373990","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764332511","112373990",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.199507,22.406829,"Tai Po",2022,4,26,"cdround","https://www.inaturalist.org/observations/112984733","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764360071","112984733",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.131836,22.262742,"Southern",2022,5,1,"cdround","https://www.inaturalist.org/observations/114181276","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772680080","114181276",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gehyra mutilata",114.115853,22.22973,"Islands",2022,5,3,"cdround","https://www.inaturalist.org/observations/115091211","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773502022","115091211",NA,NA,NA,NA,NA
