"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","continent"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga cyanea",100.997212,22.750713,"Yunnan",2022,7,17,"cdround","https://www.inaturalist.org/observations/126511784","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873529036","126511784",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Boiga cyanea",101.256417,21.932736,"Yunnan",2020,5,5,"cdround","https://www.inaturalist.org/observations/109280850","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747008212","109280850",NA,NA,NA
"fa9028ea-da44-4cc9-af9e-ba2ff3c8b20d","PRESERVED_SPECIMEN","PRESENT","Boiga cyanea",103.434444,21.251944,"Son La",2017,4,16,"gass84,typstativ,osiic,inmano","https://doi.org/10.3897/BDJ.8.e52779","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2642882305","TBU.2017. 01","Song Ma","near Pa Lau Village",NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Boiga cyanea",102.2431,22.0673,"Phongsali",2015,5,16,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/86529","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1229584535","86529","Phongsaly","Phou Dendin National Protected Area, Houay Lick","ASIA"
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Boiga cyanea",101.8775,21.3285,"Phongsali",2012,10,21,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/80743","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","895453889","80743","Boun Tai","Nam Lan Conservation Area, Ban Na Ten Village, Houay Fak Nai Stream, 675 m elevation","ASIA"
