"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus maculatus",102.614722,20.571389,"Louangphrabang",2020,2,10,"cdround","https://www.inaturalist.org/observations/38532184","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573943695","38532184",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus maculatus",105.714716,20.249697,"Ninh Binh",2018,6,15,"cdround","https://www.inaturalist.org/observations/13730505","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880556634","13730505",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus maculatus",102.23949,22.38655,"Dien Bien",2011,3,31,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686677327","331517","ASIA","ETOH - 1; tissue - 100","Sin Thau Village, Muong Nhe Nature Reserve, Camp 1",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus maculatus",102.23887,22.38058,"Dien Bien",2011,4,4,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686680037","331520","ASIA","tissue - 100; ETOH - 1","Sin Thau Village, Muong Nhe Nature Reserve, Camp 2 (Exact Coordinates Not Taken)",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus maculatus",107.881667,25.481667,"Guizhou",2007,3,28,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687000411","312152","ASIA","tissue - 100; ETOH - 1","Shuipu Village","Libo County"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sphenomorphus maculatus",100.086889,20.275111,NA,NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-39271","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693809","R-39271","ASIA","whole animal (ethanol)","Chieng Sen: N Siam",NA
