"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","catalogNumber","locality","gbifID","continent","references","preparations"
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","HUMAN_OBSERVATION","PRESENT","Phrynocephalus guttatus",104.518433,47.808544,2001,8,11,"cdround,gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","231210158","Bayannuur - Umgebung","922918421",NA,NA,NA
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","HUMAN_OBSERVATION","PRESENT","Phrynocephalus guttatus",104.309692,43.655949,1983,5,29,"cdround,gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","-1720682418","Gobi-Camp bei Dalandzsadgad","922811855",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus guttatus",105,45,1879,1,1,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","R-22185","Urungu River","476493632","ASIA","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-22185","whole animal (ethanol); tissue (95% ethanol)"
