"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.979229,24.556561,"Okinawa",2020,10,7,"cdround","https://www.inaturalist.org/observations/62024005","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330407396","62024005",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.910843,24.409864,"Okinawa",2020,10,7,"cdround","https://www.inaturalist.org/observations/61938457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330624372","61938457",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.973321,24.288231,"Okinawa",2015,6,25,"cdround","https://www.inaturalist.org/observations/7728056","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990644829","7728056",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.604174,24.294747,"Okinawa",2015,6,24,"cdround","https://www.inaturalist.org/observations/1753674","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2542879294","1753674",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.939235,24.219102,"Okinawa",2015,6,25,"cdround","https://www.inaturalist.org/observations/1753660","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2542879296","1753660",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.934933,24.391155,"Okinawa",2015,6,25,"cdround","https://www.inaturalist.org/observations/7728017","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2543061213","7728017",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.714357,24.358699,"Okinawa",2015,7,3,"cdround","https://www.inaturalist.org/observations/60354453","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868396435","60354453",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.645258,24.224473,"Okinawa",2015,7,3,"cdround","https://www.inaturalist.org/observations/60354455","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330725374","60354455",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon stimpsonii",123.961637,24.25127,"Okinawa",2013,9,11,"cdround","https://www.inaturalist.org/observations/100769634","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415583460","100769634",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon stimpsonii",123.803139,24.396528,NA,2009,9,9,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875168","KUZ R66324","Iriomote Station of the Tropical Biosphere Research Center University of the Ryukyus, Iriomotejima Island, Okinawa Pref.",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon stimpsonii",124.2,24.4,"Okinawa Prefecture",1910,5,25,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-92389","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476777091","R-92389","[no specific locality data]","ASIA","whole animal (ethanol)",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon stimpsonii",124.235382,24.476503,NA,1909,5,25,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-15513","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476491203","R-15513","Loo Choo Ids,Ishigaki","ASIA","whole animal (ethanol)",NA
