"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","continent","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",124.096415,24.41933,"Okinawa",2015,6,18,"","https://www.inaturalist.org/observations/1731377","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1122959269","1731377",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.305226,26.233338,"Okinawa",2015,6,30,"cdround","https://www.inaturalist.org/observations/15835757","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1898842696","15835757",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.742809,26.328192,"Okinawa",2015,8,5,"cdround","https://www.inaturalist.org/observations/62564790","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898496213","62564790",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.778855,26.440278,"Okinawa",2014,1,13,"cdround","https://www.inaturalist.org/observations/28900880","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2294518841","28900880",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.78188,26.440509,"Okinawa",2014,1,19,"cdround","https://www.inaturalist.org/observations/62560035","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3408021412","62560035",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.736891,26.365764,"Okinawa",2014,5,7,"cdround","https://www.inaturalist.org/observations/37239013","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2550126871","37239013",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.289426,26.225509,"Okinawa",2014,5,24,"cdround","https://www.inaturalist.org/observations/62637379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898329276","62637379",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.309634,26.221187,"Okinawa",2014,5,25,"cdround","https://www.inaturalist.org/observations/62637384","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898399225","62637384",NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",121.470116,22.676958,NA,2014,11,8,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864125300",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Emydocephalus ijimae",127.930298,26.56642,"Okinawa",2013,6,9,"","https://www.inaturalist.org/observations/572609","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1099956474","572609",NA,NA,NA,NA
"ad0d4b56-c620-45a5-9152-7a0da3bd48e8","PRESERVED_SPECIMEN","PRESENT","Emydocephalus ijimae",121.547241,22.044277,NA,1982,NA,NA,"cdround,colmafu,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","894769951","36542.0","70% Ethanol","Orchid Island",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Emydocephalus ijimae",124.1355,24.345486,"Okinawa Pref.",1910,5,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543575662","22106","Alcohol",NA,"ASIA","PhysicalObject"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Emydocephalus ijimae",128,26.5,"Ryukyu Seas",NA,NA,NA,"rdativ",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1322414148","USNM 36517","Ethanol","No Further Locality Data","ASIA","PhysicalObject"
