"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","county","locality","gbifID","catalogNumber","type"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus balioburius",121.991,20.47,"ASIA","Batanes Province",2008,5,31,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Basco","Barangay San Antonio, Sitio Chadpidan","686677487","314007",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus balioburius",121.971267,20.437033,"ASIA","Batanes Province",2007,2,25,"cdround,gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Mahatao","""Ijang"" area, south of Basco town proper","687013260","326207",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus balioburius",121.952519,20.402847,"ASIA","Batanes Prov.",1985,6,8,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Mahatao Munic.","SE of Mahatao","543510582","162489","PhysicalObject"
