"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",121.104396,23.042772,"Taiwan",2022,3,14,"cdround","https://www.inaturalist.org/observations/108783797","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802390410","108783797",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.607326,23.786525,"Taiwan",2022,6,19,"cdround","https://www.inaturalist.org/observations/122431567","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872891730","122431567",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.619306,23.758108,"Taiwan",2021,4,10,"cdround","https://www.inaturalist.org/observations/81811194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355082531","81811194",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.69121,23.708145,"Taiwan",2021,7,29,"cdround","https://www.inaturalist.org/observations/89183599","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335379660","89183599",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.716603,23.697974,"Taiwan",2021,7,29,"cdround","https://www.inaturalist.org/observations/89183574","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355486676","89183574",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",121.081357,22.885729,"Taiwan",2021,10,9,"cdround","https://www.inaturalist.org/observations/99542401","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415927994","99542401",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.793113,23.644608,"Taiwan",2021,12,21,"cdround","https://www.inaturalist.org/observations/103469581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456515206","103469581",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.73588,23.644542,"Taiwan",2020,7,17,"cdround","https://www.inaturalist.org/observations/53335111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355433388","53335111",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.735117,23.400694,"Taiwan",2020,8,11,"cdround","https://www.inaturalist.org/observations/57036750","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355086421","57036750",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma makii",120.611559,23.788664,"Taiwan",2019,7,29,"cdround","https://www.inaturalist.org/observations/29781685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2311371254","29781685",NA,NA,NA,NA,NA
