"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.605476,36.000443,"Jeollabuk-do",2020,10,17,"cdround","https://www.inaturalist.org/observations/72672046","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759215512","72672046",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.56936,36.016363,"Chungcheongnam-do",2019,5,11,"cdround","https://www.inaturalist.org/observations/36791636","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2540858133","36791636",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",106.5033,47.286059,"Tov",2019,6,13,"cdround","https://www.inaturalist.org/observations/82491667","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3302080048","82491667",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",117.149307,40.604416,"Beijing",2019,7,25,"cdround","https://www.inaturalist.org/observations/103611016","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456861827","103611016",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",116.417345,40.28854,"Beijing",2018,6,14,"cdround","https://www.inaturalist.org/observations/15071090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891296159","15071090",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.380723,36.41061,"Chungcheongnam-do",2018,8,14,"cdround","https://www.inaturalist.org/observations/15414499","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891331366","15414499",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",127.729398,37.840209,"Gangwon-do",2018,9,24,"cdround","https://www.inaturalist.org/observations/16872158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963832312","16872158",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.604167,36.000556,"Jeollabuk-do",2017,9,23,"cdround","https://www.inaturalist.org/observations/8125477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759858331","8125477",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",105.033417,48.013812,"Tov",2015,7,26,"","https://www.inaturalist.org/observations/2841531","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1948788749","2841531",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.38026,36.411261,"Chungcheongnam-do",2014,8,30,"","https://www.inaturalist.org/observations/1200519","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677256098","1200519",NA,NA,NA,NA,NA,NA,NA
