"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.703832,20.26036,"Ninh Binh",2019,7,4,"cdround","https://www.inaturalist.org/observations/39540515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580139029","39540515",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.264181,21.916434,"Yunnan",2019,8,5,"cdround","https://www.inaturalist.org/observations/30213155","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2331905387","30213155",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.253962,21.930109,"Yunnan",2019,8,4,"cdround","https://www.inaturalist.org/observations/30150745","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090734569","30150745",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.714709,20.246554,"Ninh Binh",2019,9,6,"cdround","https://www.inaturalist.org/observations/38251714","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573856827","38251714",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.715004,20.245911,"Ninh Binh",2019,11,25,"cdround","https://www.inaturalist.org/observations/36157032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859979433","36157032",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.71389,20.25,"Ninh Binh",2019,12,9,"cdround","https://www.inaturalist.org/observations/36492587","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2517998507","36492587",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.012552,20.634307,"Hoa Binh",2018,3,26,"cdround","https://www.inaturalist.org/observations/25534094","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2244304799","25534094",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.689612,21.265051,"Vinh Phuc",2018,4,2,"cdround","https://www.inaturalist.org/observations/36724182","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2540745617","36724182",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.747573,21.323698,"Vinh Phuc",2018,4,3,"cdround","https://www.inaturalist.org/observations/36724189","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2540775741","36724189",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.718542,20.242335,"Ninh Binh",2018,5,16,"cdround","https://www.inaturalist.org/observations/12507811","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847532948","12507811",NA,NA,NA,NA,NA,NA
