"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","catalogNumber","locality","gbifID","elevation","elevationAccuracy"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Teratoscincus przewalskii",100.066,43.584,"ASIA","Omnogovi",2010,7,8,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","331283","Gurvantes Soum","686680785",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Teratoscincus przewalskii",103.407,43.435,"ASIA","Omnogovi",2010,7,6,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","331265","Site en route 2","686683440",NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Teratoscincus przewalskii",105,41,NA,"Inner Mongolia",2009,9,1,"gass84","http://creativecommons.org/licenses/by/4.0/legalcode",NA,"WGS84","R-13122-1",NA,"1413901815",NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Teratoscincus przewalskii",100.7,45.22,NA,NA,2005,8,26,"gass84","http://creativecommons.org/licenses/by/4.0/legalcode",NA,"WGS84","R-12044","Bayan Khongor aimak, Ekhiin-gol biostation","2248493799",980,0
