"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy","continent","preparations","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.837226,36.569515,"Gyeongsangbuk-do",2022,5,21,"cdround","https://www.inaturalist.org/observations/118142212","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802276632","118142212",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",125.426067,34.675101,"Jeollanam-do",2022,6,19,"cdround","https://www.inaturalist.org/observations/122445355","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859523304","122445355",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.166225,37.75832,"Gyeonggi-do",2021,5,3,"cdround","https://www.inaturalist.org/observations/93668445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759632669","93668445",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",132.093282,43.243931,"Primor'ye",2021,6,27,"cdround","https://www.inaturalist.org/observations/88499139","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333156960","88499139",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.280337,36.784639,"Chungcheongnam-do",2021,7,12,"cdround","https://www.inaturalist.org/observations/86685229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327724090","86685229",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",126.927079,37.777164,"Gyeonggi-do",2021,7,25,"cdround","https://www.inaturalist.org/observations/88560433","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3383944891","88560433",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",132.447617,43.876769,"Primor'ye",2021,9,9,"cdround","https://www.inaturalist.org/observations/96928715","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384893065","96928715",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",126.960132,37.521829,"Seoul",2021,9,12,"cdround","https://www.inaturalist.org/observations/94546673","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759115689","94546673",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",128.292293,37.588605,"Gangwon-do",2021,10,31,"cdround","https://www.inaturalist.org/observations/99860240","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3408110858","99860240",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",128.292937,37.588741,"Gangwon-do",2021,10,31,"cdround","https://www.inaturalist.org/observations/99860275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3408245911","99860275",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",136.49828,44.997466,"Primor'ye",2021,10,4,"cdround","https://www.inaturalist.org/observations/104757304","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3465973912","104757304",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",126.377013,36.638747,"Chungcheongnam-do",2021,10,6,"cdround","https://www.inaturalist.org/observations/97979016","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759862718","97979016",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.072645,36.724442,"Chungcheongnam-do",2020,3,18,"cdround","https://www.inaturalist.org/observations/40172620","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580081682","40172620",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",129.285,35.345556,"Busan",2020,3,18,"cdround","https://www.inaturalist.org/observations/40221939","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2580286112","40221939",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.021033,36.654214,"Chungcheongnam-do",2020,4,3,"cdround","https://www.inaturalist.org/observations/41280880","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2597725959","41280880",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",127.167145,37.751499,"Gyeonggi-do",2020,4,5,"cdround","https://www.inaturalist.org/observations/41437197","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2597747259","41437197",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",128.72468,37.742648,"Gangwon-do",2020,9,20,"","https://www.inaturalist.org/observations/60168320","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868185021","60168320",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",131.642206,43.363766,"Primor'ye",2020,9,30,"cdround","https://www.inaturalist.org/observations/109912572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759223406","109912572",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",133.332788,44.108677,"Primor'ye",2020,10,10,"cdround","https://www.inaturalist.org/observations/62281316","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898270834","62281316",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",126.586767,36.741868,"Chungcheongnam-do",2019,4,7,"cdround","https://www.inaturalist.org/observations/22132220","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2236238223","22132220",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",126.58506,36.741378,"Chungcheongnam-do",2019,4,13,"cdround","https://www.inaturalist.org/observations/22402552","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2236854371","22402552",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus amurensis",133.84753,43.382193,"Primor'ye",2019,4,29,"cdround","https://www.inaturalist.org/observations/36321350","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465316959","36321350",NA,NA,NA,NA,NA,NA,NA
