"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.286672,26.873698,"Okinawa",2022,5,30,"cdround","https://www.inaturalist.org/observations/119379680","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859603671","119379680",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.251093,26.962158,"Okinawa",2021,4,20,"cdround","https://www.inaturalist.org/observations/74716688","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112386430","74716688",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.27336,26.888716,"Okinawa",2020,7,3,"cdround","https://www.inaturalist.org/observations/51893821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112532345","51893821",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.359738,26.869058,"Okinawa",2020,8,3,"cdround","https://www.inaturalist.org/observations/55247779","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112715354","55247779",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.392272,26.910122,"Okinawa",2020,10,15,"cdround","https://www.inaturalist.org/observations/62887381","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2984495512","62887381",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon barbouri",128.038922,26.752135,"Okinawa",2013,7,3,"cdround","https://www.inaturalist.org/observations/70423022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3320848404","70423022",NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon barbouri",127.924,26.606,"Okinawa Prefecture",1945,6,25,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55931","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476498578","R-55931","ASIA","whole animal (ethanol)","Awa,Motobu Peninsula,Okinawa",NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Plestiodon barbouri",128.146,26.7056,"Okinawa Prefecture",1945,9,18,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1322745591","USNM 123027","ASIA","Ethanol","Chijuka (= Kijoka), near","PhysicalObject"
