"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","county","locality","gbifID","catalogNumber","type","elevation","elevationAccuracy"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Trimeresurus mcgregori",121.991,20.47,"ASIA","Batanes Province",2008,5,26,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","tissue - 100; ETOH - 1","WGS84","Municipality of Basco","Barangay San Antonio, Sitio Chadpidan","686677485","314040",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Trimeresurus mcgregori",121.92547,20.3946,"ASIA","Batanes Province",2008,5,23,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Ivana","Barangay San Vicente, Sitio Chyaten","686995664","314039",NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Trimeresurus mcgregori",122,21,"ASIA","Batan Island Group",1989,8,11,"gass84","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Batanes Province","Batan Island, north slope of Mt. Iraya","1321632854","USNM 328683","PhysicalObject",NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Trimeresurus mcgregori",121.993,20.4597,"ASIA","Batan Island Group",1988,3,7,"gass84","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Batanes Province","Batan Island, 3 km ENE of Basco, Sitio Nacamaya","1319364650","USNM 291415","PhysicalObject",120,0
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Trimeresurus mcgregori",121.963722,20.424536,"ASIA","Batanes Prov.",1907,6,12,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84",NA,NA,"543648428","60525","PhysicalObject",NA,NA
