"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Scincella tsinlingensis",104.113,35.843,"ASIA","Gansu",1994,3,23,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179449","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476690845","R-179449","People's Republic of China Gansu Yuzhong Co,Shimen",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Scincella tsinlingensis",102.611027888889,33.1856916475586,"ASIA","Sichuan Province",1990,8,4,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:216682","http://creativecommons.org/publicdomain/zero/1.0/legalcode","whole organism","WGS84","1145526465","MVZ:Herp:216682","5 km N Wasong Rd. [=Waqen-Songpan Rd.] at Waqen on Chengdu-Lanzhou Rd. No. 213, then 2 km N (magnetic, 1990) by 20 degrees E on dirt road, Aba [=Ngawa] Zangzu Autonomous Prefecture",3150,0
