"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","county","locality","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations"
"454dca75-c72a-4d15-82de-bce8344029ad","PRESERVED_SPECIMEN","PRESENT","Scincella monticola",102.1825,22.309694,"Dien Bien",2014,2,18,"gass84,typstativ,osiic,inmano","http://dx.doi.org/10.3897/BDJ.3.e4284","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Muong Nhe","Muong Nhe Nature Reserve, Sin Thau sector, near Y Ma Ho stream","1122718748","HNUE MNR.56",NA,NA,NA,NA
"263bbfe7-f643-43bb-b448-f0705d1c0e18","PRESERVED_SPECIMEN","PRESENT","Scincella monticola",102.1167,29.6167,NA,1994,7,1,"elnn,incomis,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84",NA,"Sichuan; Western Sichuan, Moxi-Hailuogou","3770782498","ZFMK HERP 058130",1550,350,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Scincella monticola",105,35,NA,1911,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46958","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84",NA,"Ngan Yang Ba,China","476494415","R-46958",NA,NA,"ASIA","whole animal (ethanol)"
