"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","county","locality","gbifID","catalogNumber","type","references"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Azemiops feae",107.881667,25.481667,"ASIA","Guizhou",2007,4,12,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","tissue - 100; ETOH - 1","WGS84","Libo County","Shuipu Village","686674433","312228",NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Azemiops feae",117.637207,32.575824,NA,NA,1999,5,NA,"conti,rdativ,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","FLUID - 1","WGS84",NA,"N OF ANHUI PROVINCE","1987039454","225437","PhysicalObject",NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Azemiops feae",105.912778,22.628611,"ASIA","Cao Bang",1998,5,NA,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Nguyen Binh","Quang Thanh Village","1211751610","36976","PhysicalObject",NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Azemiops feae",105.641389,21.454167,"ASIA","Vinh Phu",1997,5,22,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84",NA,"Tam Dao","1211749235","34770","PhysicalObject",NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Azemiops feae",106.61028,23.32417,"ASIA","Guangxi Zhuang Autonomous Region",1818,6,20,"colmafu,inmafu,fpwktinv","http://creativecommons.org/publicdomain/zero/1.0/legalcode","whole organism","WGS84",NA,"Debao, Guangxi","1145514758","MVZ:Herp:206178",NA,"http://arctos.database.museum/guid/MVZ:Herp:206178"
