"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.094603,22.820119,"Taiwan",2021,7,25,"cdround","https://www.inaturalist.org/observations/88492886","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333402933","88492886",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",120.830082,22.042635,"Taiwan",2020,7,4,"cdround","https://www.inaturalist.org/observations/67005963","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031869147","67005963",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.056976,22.736624,"Taiwan",2020,11,8,"cdround","https://www.inaturalist.org/observations/64425169","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112730379","64425169",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",142.203737,27.093756,NA,2019,3,17,"cdround,cudc","https://www.inaturalist.org/observations/49306763","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802544934","49306763",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.31538,22.994214,"Taiwan",2019,12,9,"cdround","https://www.inaturalist.org/observations/36496834","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2540812735","36496834",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",120.855569,22.204702,"Taiwan",2018,7,1,"cdround","https://www.inaturalist.org/observations/63549603","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992761508","63549603",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.393802,23.12089,NA,2016,3,11,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864135418",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",142.202543,27.099797,NA,2016,11,25,"cdround,cudc","https://www.inaturalist.org/observations/65147112","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988627351","65147112",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.5001,22.645,NA,2015,5,29,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864128343",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",116.734972,20.698356,"Taiwan",2015,6,27,"cdround","https://www.inaturalist.org/observations/12479356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847525940","12479356",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.474,22.6507,NA,2014,6,6,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120403",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",121.475,22.6525,NA,2014,6,18,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120678",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lepidodactylus lugubris",123.775309,24.421478,"Okinawa",2010,11,3,"cdround","https://www.inaturalist.org/observations/37592644","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574225558","37592644",NA,NA,NA,NA,NA
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus lugubris",121.483333,22.083333,NA,1999,8,11,"cdround,cudc,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2625267953","00003384","LanyuOrchid Island.",NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus lugubris",121.550006,22.04448,"n/a",1987,3,21,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987032630","199886","LAN-YU","ASIA","FLUID - 1","TAI-TUNG","PhysicalObject"
"dce8feb0-6c89-11de-8225-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Lepidodactylus lugubris",124,24.216,NA,1981,7,13,"incomis,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1100364638","R.101031",NA,NA,NA,NA,NA
