"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","county","type","continent","preparations"
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.761944,32.455556,NA,2002,8,10,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874144","KUZ R58388",NA,NA,"Aogashima Island, Tokyo",NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.772222,32.458889,NA,2002,8,10,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779874145","KUZ R58389",NA,NA,"Aogashima Island, Tokyo",NA,NA,NA,NA
"7a25f7aa-03fb-4322-aaeb-66719e1a9527","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",135.266667,34.766667,"Osaka Prefecture",1992,6,9,"cdround,gass84,colmafu","http://portal.vertnet.org/o/lacm/herps?id=b55acfa9-038b-47fb-a909-6dc4c4b20ccd","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","657482616","140105",900,0,"Honshu Island, Mount Rokko San",NA,"PhysicalObject",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.533,34.083,"Tokyo Prefecture",1962,4,8,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-77582","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476741975","R-77582",NA,NA,"Miyake-jima Id,Iau",NA,NA,"ASIA","whole animal (ethanol)"
"a8ee9bc6-5914-427d-9fba-f8545250ac34","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.423918190548,35.7061314553744,NA,1958,9,NA,"cdrep,cdround,incomis","http://portal.vertnet.org/o/cumv/herps?id=4d6e7552-5381-11e6-9649-a4a3446a4726","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1852447016","R-0011459",NA,NA,"Tokyo",NA,"PhysicalObject","ASIA","whole organism (isopropanol) - 1"
"84b4d6e4-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.43028,35.6995799991056,NA,1956,4,14,"cdrep,incomis","http://portal.vertnet.org/o/sdnhm/herps?id=urn:catalog:sdnhm:herps:19148","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","44957820","19148",NA,NA,"Tokyo; NW of, Camp Whittington",NA,"PhysicalObject","ASIA","alcoholic"
"ad0d4b56-c620-45a5-9152-7a0da3bd48e8","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",138.847488,35.083313,NA,1955,5,5,"cdround,colmafu,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","894763062","28972.0",NA,NA,"Near Numazu",NA,NA,NA,"70% Ethanol"
"ad0d4b56-c620-45a5-9152-7a0da3bd48e8","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.536118,35.351898,"Kanto",1955,5,5,"cdround,colmafu,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","894763091","28971.0",NA,NA,"Kanagawa Prefecture, near Ofuna","Kanagawa",NA,NA,"70% Ethanol"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.65,35.45,"Kanagawa Prefecture",1871,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-185685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476630111","R-185685",NA,NA,"Yokohama",NA,NA,"ASIA","whole animal (ethanol)"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",129.868,32.755,"Nagasaki Prefecture",1862,12,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-1137","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476645285","R-1137",NA,NA,"[no specific locality data]",NA,NA,"ASIA","whole animal (ethanol)"
"84b4d6e4-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.84042,33.0943099991365,"Hachijo-Jimo",NA,NA,NA,"cdrep,incomis","http://portal.vertnet.org/o/sdnhm/herps?id=urn:catalog:sdnhm:herps:52882","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","45082984","52882",NA,NA,"Sueyoshi; vicinity of",NA,"PhysicalObject","ASIA","alcoholic"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",139.267,34.367,"Tokyo Prefecture",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46953","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476678923","R-46953",NA,NA,"Nii shima,Idzu Seven Islands",NA,NA,"ASIA","whole animal (ethanol)"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Plestiodon latiscutatus",131.42,31.92,"Kyushu Island",NA,NA,NA,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1320492479","USNM 30734",NA,NA,"Miyazaki","Miyazaki Prefecture","PhysicalObject","ASIA","Ethanol"
