"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","stateProvince","preparations","county","locality","type","continent"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cryptoblepharus nigropunctatus",142.044275,27.097515,2016,11,25,"cdround,cudc","https://www.inaturalist.org/observations/62162312","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898328685","62162312",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cryptoblepharus nigropunctatus",142.084745,26.77333,2016,11,25,"cdround","https://www.inaturalist.org/observations/65147111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988676344","65147111","Shizuoka",NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Cryptoblepharus nigropunctatus",142.167,27,1871,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7383","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476650542","R-7383","Tokyo Prefecture","whole animal (ethanol)","Ogasawara Subprefecture","Aaha shima, Bonin Is",NA,"ASIA"
