"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber","continent"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Cuora pani",101.033203,24.880458,"Yunnan",2000,12,"conti,rdativ,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","FLUID - 1","WGS84","PROBABLY FROM YUNNAN PROVINCE CHINA","1987104171","PhysicalObject","227762",NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Cuora pani",102.42,23.5,"Yunnan",NA,NA,"gass84,rdativ","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Ta Lau Shan","1317838633","PhysicalObject","USNM 266162","ASIA"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Cuora pani",108.9,34.27,"Shaanxi",NA,NA,"gass84","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Hsi-an (= Sian), vicinity of","1319237431","PhysicalObject","USNM 266169","ASIA"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Cuora pani",103.25,22.77,"Yunnan",NA,NA,"gass84,rdativ","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Chinsha (= Chin Ping)","1320719702","PhysicalObject","USNM 266163","ASIA"
