"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber","county"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Goniurosaurus lichtenfelderi",106.4775,21.212222,"ASIA","Hia Duong",1998,4,24,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Chi Linh vicinity; Hoang Hua Tham Village","1211750441","PhysicalObject","35963",NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Goniurosaurus lichtenfelderi",106.477222,21.213333,"ASIA","Hia Duong",1997,10,8,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Chi Linh vicinity; Hoang Hua Tham Village","1211769274","PhysicalObject","32456",NA
