"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora galbinifrons",114.36098,22.476252,"North",2021,6,1,"cdround","https://www.inaturalist.org/observations/84289879","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314624510","84289879",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora galbinifrons",114.087769,22.272174,"Southern",2019,4,29,"cdround","https://www.inaturalist.org/observations/23806537","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2238929369","23806537",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora galbinifrons",114.036023,22.209235,"Southern",2019,5,21,"cdround","https://www.inaturalist.org/observations/25493053","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2244294519","25493053",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora galbinifrons",114.235556,22.482587,"Tai Po",2017,4,16,"cdround","https://www.inaturalist.org/observations/13141527","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3031866376","13141527",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora galbinifrons",114.116431,22.321293,"Southern",2010,6,14,"cdround","https://www.inaturalist.org/observations/3685589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1572330311","3685589",NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Cuora galbinifrons",105.641389,21.454167,"Vinh Phu",1997,5,22,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211749481","35012","ASIA","Whole specimen (ETOH)","Tam Dao","PhysicalObject"
