"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.777986,24.132588,"Taiwan",2022,4,3,"cdround","https://www.inaturalist.org/observations/110654666","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759321192","110654666",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.424868,24.106396,"Taiwan",2021,5,9,"cdround","https://www.inaturalist.org/observations/86119117","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325623501","86119117",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.439206,24.521677,"Taiwan",2019,8,13,"cdround","https://www.inaturalist.org/observations/30738552","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2633972438","30738552",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.70687,24.289937,"Taiwan",2018,6,24,"cdround","https://www.inaturalist.org/observations/13799387","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880575122","13799387",NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.431156,24.209789,NA,2015,3,30,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864126711",NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Diploderma luei",121.569143,24.500173,NA,2014,6,18,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120606",NA,NA
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Diploderma luei",121.5,24.516667,NA,1998,7,8,"cdround,cudc,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2625280345","00002816","Nanao Hsiang.Mt. Taiping ."
