"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.738312,34.563795,"Nara",2022,4,16,"cdround","https://www.inaturalist.org/observations/111617405","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760309144","111617405",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",132.762011,33.846397,"Ehime",2022,4,30,"cdround","https://www.inaturalist.org/observations/113685099","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772433723","113685099",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",129.961391,32.766428,"Nagasaki",2022,4,20,"cdround","https://www.inaturalist.org/observations/121822007","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860096793","121822007",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.791056,35.02785,"Kyoto",2022,5,7,"cdround","https://www.inaturalist.org/observations/115839464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773754358","115839464",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",131.396912,31.815643,"Miyazaki",2022,5,18,"cdround","https://www.inaturalist.org/observations/118647965","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802446919","118647965",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",132.187346,34.145027,"Yamaguchi",2022,5,25,"cdround","https://www.inaturalist.org/observations/118626916","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802460580","118626916",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",132.885895,33.721897,"Ehime",2022,5,29,"cdround","https://www.inaturalist.org/observations/127254828","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874078764","127254828",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.292297,34.831417,"Hyogo",2022,6,27,"cdround","https://www.inaturalist.org/observations/123644444","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859188316","123644444",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.718647,35.034102,"Kyoto",2022,6,21,"cdround","https://www.inaturalist.org/observations/123208606","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3860575868","123208606",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.833987,35.119056,"Kyoto",2022,7,5,"cdround","https://www.inaturalist.org/observations/124954088","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859721382","124954088",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",134.856969,34.346781,"Hyogo",2022,7,8,"cdround","https://www.inaturalist.org/observations/125267182","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873001243","125267182",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",135.525198,35.156661,"Kyoto",2022,7,20,"cdround","https://www.inaturalist.org/observations/127188133","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873062756","127188133",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",132.416108,34.47075,"Hiroshima",2022,7,22,"cdround","https://www.inaturalist.org/observations/127356694","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873197303","127356694",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon japonicus",132.551963,33.976581,"Ehime",2022,7,24,"cdround","https://www.inaturalist.org/observations/128285919","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881404680","128285919",NA,NA,NA
