"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus platyurus",100.081566,20.352139,"Chiang Rai",2020,1,7,"cdround","https://www.inaturalist.org/observations/40270719","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596229227","40270719",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus platyurus",102.615,20.570833,"Louangphrabang",2020,2,10,"cdround","https://www.inaturalist.org/observations/38532313","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574034761","38532313",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus platyurus",102.293689,20.024764,"Louangphrabang",2020,3,1,"cdround","https://www.inaturalist.org/observations/40986784","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596433780","40986784",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus platyurus",102.293676,20.024773,"Louangphrabang",2020,3,1,"cdround","https://www.inaturalist.org/observations/40986783","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596435795","40986783",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus platyurus",101.411205,20.970914,"Louang Namtha",2013,8,6,"cdround","https://www.inaturalist.org/observations/104119086","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712690457","104119086",NA,NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Hemidactylus platyurus",120.910986370104,23.8556513747726,"Nantou",1934,6,2,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23355","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145545149","MVZ:Herp:23355",229,0,"ASIA","whole organism","Shui-she"
