"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","elevationAccuracy","year","month","day","issues","license","geodeticDatum","catalogNumber","locality","gbifID","stateProvince","references"
"263bbfe7-f643-43bb-b448-f0705d1c0e18","PRESERVED_SPECIMEN","PRESENT","Tropidophorus boehmei",103.7833,22.4,1250,50,2009,6,10,"elnn,incomis,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","ZFMK HERP 089137","Lao Cai; Sa Pa: forest of Hoang Lien Mountain, near Ban Khoang","3770794901",NA,NA
"75cf2f82-3221-4299-a256-bb96c1cbd9dc","MATERIAL_CITATION","PRESENT","Tropidophorus boehmei",104.333336,21.983334,1000,NA,2004,5,6,"gass84,osiic","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","ZISP 2","Hoang Lien Mountain","1440674342","Lao Cai Province","http://treatment.plazi.org/id/03BB4C38FF91B2070E9DFF33FB3BFDB2"
"75cf2f82-3221-4299-a256-bb96c1cbd9dc","MATERIAL_CITATION","PRESENT","Tropidophorus boehmei",103.78333,22.4,1250,NA,NA,NA,NA,"gass84,osiic","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","VNMN 822","Hoang Lien Mountain","1440674318","Lao Cai Province","http://treatment.plazi.org/id/03BB4C38FF91B2070E9DFF33FB3BFDB2"
