"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe bimaculata",117.175413,31.84456,"Anhui",2021,9,10,"cdround","https://www.inaturalist.org/observations/103184667","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698323380","103184667",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe bimaculata",114.358213,30.478646,"Hubei",2021,10,24,"cdround","https://www.inaturalist.org/observations/106533108","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499537508","106533108",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe bimaculata",114.349092,30.469872,"Hubei",2019,6,25,"cdround","https://www.inaturalist.org/observations/109125069","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747090944","109125069",NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Elaphe bimaculata",115.96667,29.61667,"Jiangxi Province",1936,4,1,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:22223","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145532622","MVZ:Herp:22223","ASIA","whole organism; skeleton","Lianhuadong, 5 mi N Guling, Lu shan"
