"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","elevationAccuracy","continent","stateProvince","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","county","type"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.118247,22.433618,NA,NA,"ASIA","Hong Kong",1993,6,9,"cudc,txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-181368","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476641625","R-181368","Hong Kong:New Territories,Kadoorie Farm top road","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.180908,22.425759,NA,NA,"ASIA","Hong Kong",1992,8,18,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-177125","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476699074","R-177125","Tai Po Kau","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",113.874209,22.219173,NA,NA,"ASIA","Hong Kong",1990,5,18,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176020","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476713233","R-176020","Keung Shan","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.137719,22.409712,310,0,"ASIA","Hong Kong",1990,7,19,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176021","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476713234","R-176021","SE slope of Tai Mo Shan","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.137719,22.409394,450,0,"ASIA","Hong Kong",1990,7,22,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476713235","R-176022","SE slope of Tai Mo Shan","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.146541,22.389132,NA,NA,"ASIA","Hong Kong",1987,4,19,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172783","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476707791","R-172783","Shing Mun","New Territories",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",114.220897,22.242141,NA,NA,"ASIA","Hong Kong",1982,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172782","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476499682","R-172782","Lower Tai Tam catchwater",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",120.503069,23.33435,NA,NA,"ASIA","Tainan Special Municipality",1909,3,28,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","543541071","18993","Kanshirei [= Guanziling]",NA,"PhysicalObject"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Sibynophis collaris",120.744178,22.003694,NA,NA,"ASIA","Pingtung Co.",1909,4,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","543541104","18996","Koshun [= Hengchun]",NA,"PhysicalObject"
