"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus przewalskii",102.857136,38.342806,"Gansu",2019,5,2,"cdround","https://www.inaturalist.org/observations/69708749","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061578492","69708749",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus przewalskii",105.01722,38.466946,"Nei Mongol",2019,8,19,"cdround","https://www.inaturalist.org/observations/31449895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429234065","31449895",NA,NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",105.595667888889,38.7902064024705,"Inner Mongolia Autonomous Region",1988,7,29,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210557","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519578","MVZ:Herp:210557","ASIA","whole organism","7.2 km SW of W edge Alxa Zuoqi [Bayan Hot] [38.50N 105.32E] on dirt road, Alxa League",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",105.638837888889,38.8240663877599,"Inner Mongolia Autonomous Region",1988,7,29,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210642","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519689","MVZ:Herp:210642","ASIA","whole organism","1.9 km SW of W edge Alxa Zuoqi [Bayan Hot] [38.50N 105.32E] on dirt road, Alxa League",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",105.7,38.33333,"Inner Mongolia Autonomous Region",1988,7,31,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210813","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519870","MVZ:Herp:210813","ASIA","whole organism","2.4 km N Mujingzi [=38.20N 105.42E], also 6.8 km S Alxa Zuoqi-Yinchuan Rd. by way of S side Helan Mts. at Changli Ushi, on Changli Ushui-Luanjing Rd., Alxa League",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",105.36965,37.95584,"Inner Mongolia Autonomous Region",1988,7,31,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210837","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519894","MVZ:Herp:210837","ASIA","whole organism","1.7 km SW center of Luanjing [=37.58N 105.23E] on Luanjing-Zhenluopu Rd., Alxa League",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",105.4,37.54052,"Inner Mongolia Autonomous Region",1988,7,31,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210852","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519919","MVZ:Herp:210852","ASIA","whole organism","47.3 km S center of Luanjing [=37.58N 105.23E] on Luanjing-Zhenluopu Rd., Alxa League",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",104.979307888889,37.453967972156,"Ningxia Hui Autonomous Region",1988,8,2,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210877","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145520013","MVZ:Herp:210877","ASIA","whole organism","2 km W Shapotou Desert Research Station, along N shore of Yellow River [Huang He], Shapotou [37.30N 104.58], Yinnan Prefecture",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",104.566977888889,37.4667379668123,"Ningxia Hui Autonomous Region",1988,8,10,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:211345","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145520477","MVZ:Herp:211345","ASIA","whole organism","9.3 km E Xiaohongshan [=37.31N 104.27E], 61.2 km W Shapotou Desert Research Station [=Shapatou] on Gaolan-Zhongwei Rd., Yinnan Prefecture",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus przewalskii",104.536411,36.677289,"Gansu Prov.",1987,8,13,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543515336","166768","ASIA","Alcohol","Wujiachuan (36 47 N 104 30 E), at km 126 from the Yellow River bridge in Lanzhou on the Baotou-Lanzhou Rd","Lanzhou Municipality","PhysicalObject"
