"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.681106,22.067995,"Taiwan",2022,2,26,"cdround","https://www.inaturalist.org/observations/107636291","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3705755995","107636291",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.74742,21.93883,NA,2021,1,9,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592041","202101_13","ASIA","Pingtung","Houbihu",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.38982,22.3461,NA,2021,2,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591979","202102_23","ASIA","Pingtung","Lobster Cave (Soft coral zone)",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.435572,22.623157,"Taiwan",2021,8,25,"cdround","https://www.inaturalist.org/observations/92427831","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3344138963","92427831",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.70982,21.94871,NA,2021,8,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819590806","202109_11","ASIA","Pingtung","HeJie",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",116.73041,20.70253,NA,2021,9,13,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591512","202110_16","ASIA","Kaohsiung",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",132.081292,43.067297,"Primor'ye",2021,10,20,"cdround","https://www.inaturalist.org/observations/98785508","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3398949526","98785508",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.50762,22.05676,NA,2021,10,18,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591780","202110_21","ASIA","Taitung","Kaiyuan Harbor",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.38424,22.35261,NA,2021,10,17,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592009","202110_19","ASIA","Pingtung","Baisha Port",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.35914,22.33821,NA,2021,10,3,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593177","202110_06","ASIA","Pingtung","ShanFu",NA,NA,NA
